Index,Country,Date,Confirmed Cases,Confirmed Deaths,Population,region,total_cases,cases_in_last_7days,cases_in_last_24hrs,total_deaths,deaths_in_last_7days,deaths_in_last_24hrs
0,Afghanistan,1/1/2022,158107,7356,38928341,,,,,,,
1,Albania,1/1/2022,210224,3217,2877800,,,,,,,
2,Algeria,1/1/2022,218818,6284,43851043,,,,,,,
3,American Samoa,1/1/2022,11,0,55197,,,,,,,
4,Andorra,1/1/2022,23740,140,77265,,,,,,,
5,Angola,1/1/2022,82398,1772,32866268,,,,,,,
6,Anguilla,1/1/2022,1674,5,15002,,,,,,,
7,Antarctica,1/1/2022,11,0,,,,,,,,
8,Antigua and Barbuda,1/1/2022,4283,119,97928,,,,,,,
9,Argentina,1/1/2022,5674428,117181,45195777,,,,,,,
10,Armenia,1/1/2022,344980,7975,2963234,,,,,,,
11,Aruba,1/1/2022,20982,181,106766,,,,,,,
12,Australia,1/1/2022,462955,2257,25499881,,,,,,,
13,Austria,1/1/2022,1274628,16845,9006400,,,,,,,
14,Azerbaijan,1/1/2022,617311,8365,10139175,,,,,,,
15,Bahamas,1/1/2022,24476,717,393248,,,,,,,
16,Bahrain,1/1/2022,282677,1394,1701583,,,,,,,
17,Bangladesh,1/1/2022,1585909,28076,164689383,,,,,,,
18,Barbados,1/1/2022,28810,262,287371,,,,,,,
19,Belarus,1/1/2022,700421,5594,9449321,,,,,,,
20,Belgium,1/1/2022,2105343,28331,11589616,,,,,,,
21,Belize,1/1/2022,32840,602,397621,,,,,,,
22,Benin,1/1/2022,24935,161,12123198,,,,,,,
23,Bermuda,1/1/2022,6420,110,62273,,,,,,,
24,Bhutan,1/1/2022,2660,3,771612,,,,,,,
25,Bolivia,1/1/2022,599753,19680,11673029,,,,,,,
26,Bosnia and Herzegovina,1/1/2022,291313,13442,3280815,,,,,,,
27,Botswana,1/1/2022,219509,2444,2351625,,,,,,,
28,Brazil,1/1/2022,22295621,619367,212559409,,,,,,,
29,British Virgin Islands,1/1/2022,3492,39,30237,,,,,,,
30,Brunei,1/1/2022,15470,98,437483,,,,,,,
